run_id,band,elapsed_s,temp,target_temp,error,abs_error,temp_velocity,current_kp,current_ki,current_kd,kp,ki,kd,history_score,cost,n_samples,far_mae,time_to_reach_mid_band,mid_mae,approach_speed,tail_mae,jitter_std,overshoot
run_1777944418_5e1043a2,far,257.48405957221985,14.764999389648438,0.0,-14.764999389648438,14.764999389648438,-0.13319993969090962,4.0,641.0,14.0,4.0,641.0,14.0,19.700687708869484,19.700687708869484,161.0,20.11247043135744,321.4817497730255,,,,,
run_1777944418_5e1043a2,far,241.4754228591919,16.0500545501709,0.0,-16.0500545501709,16.0500545501709,-0.08938343310536884,4.0,641.0,14.0,4.0,641.0,14.0,19.700687708869484,19.700687708869484,161.0,20.11247043135744,321.4817497730255,,,,,
run_1777944418_5e1043a2,far,227.47646808624268,17.202613830566406,0.0,-17.202613830566406,17.202613830566406,-0.06672256696196882,4.0,641.0,14.0,4.0,641.0,14.0,19.700687708869484,19.700687708869484,161.0,20.11247043135744,321.4817497730255,,,,,
run_1777944418_5e1043a2,far,211.49109888076782,18.35563087463379,0.0,-18.35563087463379,18.35563087463379,-0.110941990607036,4.0,641.0,14.0,4.0,641.0,14.0,19.700687708869484,19.700687708869484,161.0,20.11247043135744,321.4817497730255,,,,,
run_1777944418_5e1043a2,far,195.49057722091675,19.50910377502441,0.0,-19.50910377502441,19.50910377502441,-0.11056041838655017,4.0,641.0,14.0,4.0,641.0,14.0,19.700687708869484,19.700687708869484,161.0,20.11247043135744,321.4817497730255,,,,,
run_1777944418_5e1043a2,far,181.48554611206055,20.529909133911133,0.0,-20.529909133911133,20.529909133911133,-0.06634912986266842,4.0,641.0,14.0,4.0,641.0,14.0,19.700687708869484,19.700687708869484,161.0,20.11247043135744,321.4817497730255,,,,,
run_1777944418_5e1043a2,far,165.4755711555481,21.59540557861328,0.0,-21.59540557861328,21.59540557861328,0.0,4.0,641.0,14.0,4.0,641.0,14.0,19.700687708869484,19.700687708869484,161.0,20.11247043135744,321.4817497730255,,,,,
run_1777944418_5e1043a2,far,151.47814869880676,22.261592864990234,0.0,-22.261592864990234,22.261592864990234,-0.06682730985162526,4.0,641.0,14.0,4.0,641.0,14.0,19.700687708869484,19.700687708869484,161.0,20.11247043135744,321.4817497730255,,,,,
run_1777944418_5e1043a2,far,135.48925256729126,23.061176300048828,0.0,-23.061176300048828,23.061176300048828,-0.04507608307151961,4.0,641.0,14.0,4.0,641.0,14.0,19.700687708869484,19.700687708869484,161.0,20.11247043135744,321.4817497730255,,,,,
run_1777944418_5e1043a2,far,121.47894883155823,23.549909591674805,0.0,-23.549909591674805,23.549909591674805,-0.022213085057847273,4.0,641.0,14.0,4.0,641.0,14.0,19.700687708869484,19.700687708869484,161.0,20.11247043135744,321.4817497730255,,,,,
run_1777944418_5e1043a2,far,105.4805064201355,23.90539932250977,0.0,-23.90539932250977,23.90539932250977,0.0,4.0,641.0,14.0,4.0,641.0,14.0,19.700687708869484,19.700687708869484,161.0,20.11247043135744,321.4817497730255,,,,,
run_1777944418_5e1043a2,far,89.48986148834229,24.03873443603516,0.0,-24.03873443603516,24.03873443603516,-0.02212393740272373,4.0,641.0,14.0,4.0,641.0,14.0,19.700687708869484,19.700687708869484,161.0,20.11247043135744,321.4817497730255,,,,,
run_1777944418_5e1043a2,far,75.48046970367432,24.216514587402344,0.0,-24.216514587402344,24.216514587402344,0.0,4.0,641.0,14.0,4.0,641.0,14.0,19.700687708869484,19.700687708869484,161.0,20.11247043135744,321.4817497730255,,,,,
run_1777944418_5e1043a2,far,59.4909884929657,24.4831771850586,0.0,-24.4831771850586,24.4831771850586,0.02214961084700855,4.0,641.0,14.0,4.0,641.0,14.0,19.700687708869484,19.700687708869484,161.0,20.11247043135744,321.4817497730255,,,,,
run_1777944418_5e1043a2,far,45.49043130874634,24.616539001464844,0.0,-24.616539001464844,24.616539001464844,-0.022246638553429385,4.0,641.0,14.0,4.0,641.0,14.0,19.700687708869484,19.700687708869484,161.0,20.11247043135744,321.4817497730255,,,,,
run_1777944418_5e1043a2,far,29.48560070991516,24.927698135375977,0.0,-24.927698135375977,24.927698135375977,-0.022244596351612397,4.0,641.0,14.0,4.0,641.0,14.0,19.700687708869484,19.700687708869484,161.0,20.11247043135744,321.4817497730255,,,,,
