source,run_id,band,elapsed_s,temp,target_temp,error,abs_error,temp_velocity,current_kp,current_ki,current_kd,kp,ki,kd,history_score,cost,n_samples,far_mae,time_to_reach_mid_band,mid_mae,approach_speed,weighted_approach_speed,brake_penalty,tail_mae,jitter_std,overshoot,max_overshoot
run_history,mpc_replay_1780514661_b02dcc14,near,746.0093276500702,-0.6994061470031738,0.0,0.6994061470031738,0.6994061470031738,0.0,7.0,59.0,16.0,7.0,59.0,16.0,0.6994061470031738,,,,,,,,,,,,
run_history,mpc_replay_1780517893_80747dd9,near,658.0168220996857,-0.6994061470031738,0.0,0.6994061470031738,0.6994061470031738,-0.04375845755704733,1.0,766.0,19.0,1.0,766.0,19.0,0.6994061470031738,,,,,,,,,,,,
run_history,mpc_replay_1780494638_1c971ee4,near,838.0065288543701,0.7110810279846191,0.0,-0.7110810279846191,0.7110810279846191,0.0,1.0,662.0,2.0,1.0,662.0,2.0,0.7110810279846191,,,,,,,,,,,,
run_history,mpc_replay_1780511940_dd449526,near,565.9942021369934,0.7110810279846191,0.0,-0.7110810279846191,0.7110810279846191,-0.04430078271766674,1.0,433.0,1.0,1.0,433.0,1.0,0.7110810279846191,,,,,,,,,,,,
run_history,mpc_replay_1780021364_d43e0964,near,565.9473900794983,-0.7434768676757812,0.0,0.7434768676757812,0.7434768676757812,0.04417764748368741,1.0,858.0,5.0,1.0,858.0,5.0,0.7434768676757812,,,,,,,,,,,,
run_history,mpc_replay_1780482474_94c367ac,near,626.001223564148,-0.7434768676757812,0.0,0.7434768676757812,0.7434768676757812,-0.021953527349627553,1.0,229.0,18.0,1.0,229.0,18.0,0.7434768676757812,,,,,,,,,,,,
run_history,mpc_replay_1780492043_7b06cb38,near,791.9859342575073,-0.7434768676757812,0.0,0.7434768676757812,0.7434768676757812,-0.04391560233780284,1.0,932.0,2.0,1.0,932.0,2.0,0.7434768676757812,,,,,,,,,,,,
run_history,mpc_replay_1780492043_7b06cb38,near,805.9798755645752,-0.7434768676757812,0.0,0.7434768676757812,0.7434768676757812,0.0,1.0,948.0,2.0,1.0,948.0,2.0,0.7434768676757812,,,,,,,,,,,,
run_history,mpc_replay_1780517893_80747dd9,near,612.0111203193665,-0.7434768676757812,0.0,0.7434768676757812,0.7434768676757812,0.0,1.0,507.0,18.0,1.0,507.0,18.0,0.7434768676757812,,,,,,,,,,,,
run_history,mpc_replay_1780494638_1c971ee4,near,615.9924767017365,0.7551732063293457,0.0,-0.7551732063293457,0.7551732063293457,0.0,1.0,966.0,13.0,1.0,966.0,13.0,0.7551732063293457,,,,,,,,,,,,
run_history,mpc_replay_1780021364_d43e0964,near,533.9477941989899,-0.7875461578369141,0.0,0.7875461578369141,0.7875461578369141,-0.02212731562286167,1.0,1000.0,5.0,1.0,1000.0,5.0,0.7875461578369141,,,,,,,,,,,,
run_history,mpc_replay_1780021364_d43e0964,near,611.9594333171844,-0.7875461578369141,0.0,0.7875461578369141,0.7875461578369141,0.0219613205021869,1.0,756.0,5.0,1.0,756.0,5.0,0.7875461578369141,,,,,,,,,,,,
run_history,mpc_replay_1780021364_d43e0964,near,705.9531760215759,-0.7875461578369141,0.0,0.7875461578369141,0.7875461578369141,0.0,1.0,782.0,3.0,1.0,782.0,3.0,0.7875461578369141,,,,,,,,,,,,
run_history,mpc_replay_1780482474_94c367ac,near,689.9979419708252,-0.7875461578369141,0.0,0.7875461578369141,0.7875461578369141,-0.02191938589669428,5.0,62.0,17.0,5.0,62.0,17.0,0.7875461578369141,,,,,,,,,,,,
run_history,mpc_replay_1780492043_7b06cb38,near,711.9905729293823,-0.7875461578369141,0.0,0.7875461578369141,0.7875461578369141,0.02192618320216792,1.0,867.0,7.0,1.0,867.0,7.0,0.7875461578369141,,,,,,,,,,,,
run_history,mpc_replay_1780494638_1c971ee4,near,664.00697016716,-0.7875461578369141,0.0,0.7875461578369141,0.7875461578369141,-0.021999633894861172,1.0,865.0,2.0,1.0,865.0,2.0,0.7875461578369141,,,,,,,,,,,,
run_history,mpc_replay_1780502219_badf9738,near,549.9374780654907,-0.7875461578369141,0.0,0.7875461578369141,0.7875461578369141,-0.022067749567097707,1.0,405.0,4.0,1.0,405.0,4.0,0.7875461578369141,,,,,,,,,,,,
run_history,mpc_replay_1780517893_80747dd9,near,706.0168223381042,-0.7875461578369141,0.0,0.7875461578369141,0.7875461578369141,-0.04382894280396825,5.0,89.0,20.0,5.0,89.0,20.0,0.7875461578369141,,,,,,,,,,,,
run_history,mpc_replay_1780502219_badf9738,near,517.9479036331177,0.7992668151855469,0.0,-0.7992668151855469,0.7992668151855469,-0.02205759977513379,1.0,253.0,5.0,1.0,253.0,5.0,0.7992668151855469,,,,,,,,,,,,
run_history,mpc_replay_1780511940_dd449526,near,878.0070841312408,0.7992668151855469,0.0,-0.7992668151855469,0.7992668151855469,-0.021957790125930333,1.0,914.0,18.0,1.0,914.0,18.0,0.7992668151855469,,,,,,,,,,,,
run_history,mpc_replay_1780013644_d06916b6,near,621.9906320571899,-0.8316159248352051,0.0,0.8316159248352051,0.8316159248352051,-0.04387806502673167,1.0,160.0,9.0,1.0,160.0,9.0,0.8316159248352051,,,,,,,,,,,,
run_history,mpc_replay_1780013644_d06916b6,near,637.9818270206451,-0.8316159248352051,0.0,0.8316159248352051,0.8316159248352051,0.0441701931979891,1.0,191.0,2.0,1.0,191.0,2.0,0.8316159248352051,,,,,,,,,,,,
run_history,mpc_replay_1780021364_d43e0964,near,517.9461166858673,-0.8316159248352051,0.0,0.8316159248352051,0.8316159248352051,0.04409394036385708,1.0,1000.0,3.0,1.0,1000.0,3.0,0.8316159248352051,,,,,,,,,,,,
run_history,mpc_replay_1780021364_d43e0964,near,659.9468622207642,-0.8316159248352051,0.0,0.8316159248352051,0.8316159248352051,0.02209959019701032,1.0,766.0,4.0,1.0,766.0,4.0,0.8316159248352051,,,,,,,,,,,,
run_history,mpc_replay_1780492043_7b06cb38,near,743.9832029342651,-0.8316159248352051,0.0,0.8316159248352051,0.8316159248352051,-0.04420874335341738,1.0,910.0,5.0,1.0,910.0,5.0,0.8316159248352051,,,,,,,,,,,,
run_history,mpc_replay_1780494638_1c971ee4,near,726.0070595741272,-0.8316159248352051,0.0,0.8316159248352051,0.8316159248352051,0.0,1.0,844.0,1.0,1.0,844.0,1.0,0.8316159248352051,,,,,,,,,,,,
run_history,mpc_replay_1780502219_badf9738,near,627.9421792030334,-0.8316159248352051,0.0,0.8316159248352051,0.8316159248352051,-0.04409149914579742,1.0,229.0,18.0,1.0,229.0,18.0,0.8316159248352051,,,,,,,,,,,,
run_history,mpc_replay_1780502219_badf9738,near,689.9390821456909,-0.8316159248352051,0.0,0.8316159248352051,0.8316159248352051,-0.04413558510195673,5.0,62.0,17.0,5.0,62.0,17.0,0.8316159248352051,,,,,,,,,,,,
run_history,mpc_replay_1780514661_b02dcc14,near,652.0075368881226,-0.8316159248352051,0.0,0.8316159248352051,0.8316159248352051,-0.021968978720961454,1.0,431.0,1.0,1.0,431.0,1.0,0.8316159248352051,,,,,,,,,,,,
run_history,run_1780538941_5f735dc2,near,835.7039778232574,0.005744457244873,0.0,-0.005744457244873,0.005744457244873,0.0,7.0,81.0,50.0,7.0,81.0,50.0,0.859031380530191,0.859031380530191,363.0,,,,,,,0.0270241133371988,0.0289808704775001,0.0007740455262379,
run_history,run_1780538941_5f735dc2,near,819.7031807899475,-0.0383367538452148,0.0,0.0383367538452148,0.0383367538452148,0.0,7.0,81.0,50.0,7.0,81.0,50.0,0.859031380530191,0.859031380530191,363.0,,,,,,,0.0270241133371988,0.0289808704775001,0.0007740455262379,
run_history,run_1780538941_5f735dc2,near,865.7069644927979,0.0498270988464355,0.0,-0.0498270988464355,0.0498270988464355,0.02208563894753502,7.0,81.0,50.0,7.0,81.0,50.0,0.859031380530191,0.859031380530191,363.0,,,,,,,0.0270241133371988,0.0289808704775001,0.0007740455262379,
run_history,run_1780538941_5f735dc2,near,805.7163035869598,-0.0824170112609863,0.0,0.0824170112609863,0.0824170112609863,0.0,7.0,81.0,50.0,7.0,81.0,50.0,0.859031380530191,0.859031380530191,363.0,,,,,,,0.0270241133371988,0.0289808704775001,0.0007740455262379,
run_history,run_1780538941_5f735dc2,near,789.7054743766785,-0.1264834403991699,0.0,0.1264834403991699,0.1264834403991699,0.0,7.0,81.0,50.0,7.0,81.0,50.0,0.859031380530191,0.859031380530191,363.0,,,,,,,0.0270241133371988,0.0289808704775001,0.0007740455262379,
run_history,run_1780538941_5f735dc2,near,773.7154681682587,-0.170562744140625,0.0,0.170562744140625,0.170562744140625,0.0,7.0,81.0,50.0,7.0,81.0,50.0,0.859031380530191,0.859031380530191,363.0,,,,,,,0.0270241133371988,0.0289808704775001,0.0007740455262379,
run_history,run_1780538941_5f735dc2,near,545.7129337787628,0.182077407836914,0.0,-0.182077407836914,0.182077407836914,-0.04396797952820701,7.0,81.0,50.0,7.0,81.0,50.0,0.859031380530191,0.859031380530191,363.0,,,,,,,0.0270241133371988,0.0289808704775001,0.0007740455262379,
run_history,run_1780538941_5f735dc2,near,759.7104647159576,-0.2586903572082519,0.0,0.2586903572082519,0.2586903572082519,0.0,7.0,81.0,50.0,7.0,81.0,50.0,0.859031380530191,0.859031380530191,363.0,,,,,,,0.0270241133371988,0.0289808704775001,0.0007740455262379,
run_history,run_1780538941_5f735dc2,near,561.7059271335602,-0.3027677536010742,0.0,0.3027677536010742,0.3027677536010742,-0.022138379661823148,7.0,81.0,50.0,7.0,81.0,50.0,0.859031380530191,0.859031380530191,363.0,,,,,,,0.0270241133371988,0.0289808704775001,0.0007740455262379,
run_history,run_1780538941_5f735dc2,near,729.703483581543,-0.3909206390380859,0.0,0.3909206390380859,0.3909206390380859,0.0,7.0,81.0,50.0,7.0,81.0,50.0,0.859031380530191,0.859031380530191,363.0,,,,,,,0.0270241133371988,0.0289808704775001,0.0007740455262379,
run_history,run_1780538941_5f735dc2,near,713.7074601650238,-0.4790558815002441,0.0,0.4790558815002441,0.4790558815002441,0.0,7.0,81.0,50.0,7.0,81.0,50.0,0.859031380530191,0.859031380530191,363.0,,,,,,,0.0270241133371988,0.0289808704775001,0.0007740455262379,
run_history,run_1780538941_5f735dc2,near,697.7045242786407,-0.567204475402832,0.0,0.567204475402832,0.567204475402832,0.0,7.0,81.0,50.0,7.0,81.0,50.0,0.859031380530191,0.859031380530191,363.0,,,,,,,0.0270241133371988,0.0289808704775001,0.0007740455262379,
run_history,run_1780538941_5f735dc2,near,577.7098362445831,-0.6553487777709961,0.0,0.6553487777709961,0.6553487777709961,-0.044160460439189364,7.0,81.0,50.0,7.0,81.0,50.0,0.859031380530191,0.859031380530191,363.0,,,,,,,0.0270241133371988,0.0289808704775001,0.0007740455262379,
run_history,run_1780538941_5f735dc2,near,531.7019386291504,0.6670031547546387,0.0,-0.6670031547546387,0.6670031547546387,-0.04423953122452317,7.0,81.0,50.0,7.0,81.0,50.0,0.859031380530191,0.859031380530191,363.0,,,,,,,0.0270241133371988,0.0289808704775001,0.0007740455262379,
run_history,run_1780538941_5f735dc2,near,667.7070097923279,-0.7434768676757812,0.0,0.7434768676757812,0.7434768676757812,0.0,7.0,81.0,50.0,7.0,81.0,50.0,0.859031380530191,0.859031380530191,363.0,,,,,,,0.0270241133371988,0.0289808704775001,0.0007740455262379,
run_history,run_1780538941_5f735dc2,near,653.7090137004852,-0.7875461578369141,0.0,0.7875461578369141,0.7875461578369141,-0.02205673966209657,7.0,81.0,50.0,7.0,81.0,50.0,0.859031380530191,0.859031380530191,363.0,,,,,,,0.0270241133371988,0.0289808704775001,0.0007740455262379,
run_history,run_1780538941_5f735dc2,near,637.7040333747864,-0.8316159248352051,0.0,0.8316159248352051,0.8316159248352051,0.0,7.0,81.0,50.0,7.0,81.0,50.0,0.859031380530191,0.859031380530191,363.0,,,,,,,0.0270241133371988,0.0289808704775001,0.0007740455262379,
run_history,run_1780538941_5f735dc2,near,591.7030231952667,-0.8756842613220215,0.0,0.8756842613220215,0.8756842613220215,0.0,7.0,81.0,50.0,7.0,81.0,50.0,0.859031380530191,0.859031380530191,363.0,,,,,,,0.0270241133371988,0.0289808704775001,0.0007740455262379,
run_history,run_1780538941_5f735dc2,near,621.7120215892792,-1.0078577995300293,0.0,1.0078577995300293,1.0078577995300293,0.0,7.0,81.0,50.0,7.0,81.0,50.0,0.859031380530191,0.859031380530191,363.0,,,,,,,0.0270241133371988,0.0289808704775001,0.0007740455262379,
run_history,run_1780538941_5f735dc2,near,607.7080218791962,-1.0519099235534668,0.0,1.0519099235534668,1.0519099235534668,0.0,7.0,81.0,50.0,7.0,81.0,50.0,0.859031380530191,0.859031380530191,363.0,,,,,,,0.0270241133371988,0.0289808704775001,0.0007740455262379,
