rank,candidate_id,kp,ki,kd,score,valid,invalid_reason,tail_mae,tail_bias,tail_std,overshoot_max,overshoot_rmse,final_error,final_abs_error,time_to_near_s,time_to_settle_s,mae_full,p90_abs_error_full,max_abs_error_full,min_temp,max_temp,end_temp,control_abs_mean
588,680,39.0,779.0,13.0,82.94875815725908,True,,8.1302991749336,8.1302991749336,0.1694869406788418,8.35274940560339,5.365882969272431,7.7907740161099355,7.7907740161099355,474.0,508.0,9.713483815267052,21.68001472204924,26.87303191423416,-8.35274940560339,26.87303191423416,-7.7907740161099355,30.813960590484022
589,292,26.0,403.0,8.0,83.03416411201013,True,,4.954370446589655,4.954370446589655,0.22370673454747653,9.951930686831474,5.526874631893238,4.886665211102809,4.886665211102809,352.0,372.0,9.127886945585038,21.23460501544178,26.876538030803204,-9.951930686831474,26.876538030803204,-4.886665211102809,52.221551857324975
590,28,23.0,375.0,19.0,83.07755923706824,True,,4.918686800580842,4.918686800580842,0.18493429636783879,10.244118249043822,5.494704759426622,4.570242391899228,4.570242391899228,346.0,364.0,8.981001025522128,20.742116249352698,26.87962133437395,-10.244118249043822,26.87962133437395,-4.570242391899228,56.46170737237189
591,940,42.0,986.0,6.0,83.0779851927611,True,,8.345576682245198,8.345576682245198,0.19578292467231312,8.648454798385501,5.253538005221601,8.648454798385501,8.648454798385501,478.0,514.0,9.582422337022921,21.52070858180523,26.86953553557396,-8.648454798385501,26.86953553557396,-8.648454798385501,26.91974566002411
592,513,21.0,251.0,13.0,83.19167508357455,True,,4.881231331959944,4.881231331959944,0.9684500346026962,10.044982699677348,5.5845742608336035,3.1090214532450773,3.1090214532450773,336.0,352.0,9.063597672495913,21.20559870563448,26.880540750920773,-10.044982699677348,26.880540750920773,-3.1090214532450773,72.96753214461333
593,911,33.0,571.0,13.0,83.30136790130835,True,,6.777717221165217,6.777717221165217,0.8322277166986236,9.081919932847086,5.484852991023645,5.3303340917263995,5.3303340917263995,430.0,460.0,9.6350348475399,21.691620380431416,26.875039979815483,-9.081919932847086,26.875039979815483,-5.3303340917263995,39.33149500252424
594,323,42.0,927.0,9.0,83.30722115543593,True,,8.380516812637053,8.380516812637053,0.12827221259614097,8.55947577394545,5.298387880163717,8.55947577394545,8.55947577394545,480.0,516.0,9.660000656852498,21.629542549699547,26.871067330241203,-8.55947577394545,26.871067330241203,-8.55947577394545,27.40796726458249
595,244,33.0,593.0,6.0,83.34664776470137,True,,6.894340127918157,6.894340127918157,0.6725006250081478,8.873934386356268,5.507055048063518,5.755276141862851,5.755276141862851,420.0,448.0,9.527378593607573,21.415926358848814,26.873422890901566,-8.873934386356268,26.873422890901566,-5.755276141862851,38.771337341090224
596,179,42.0,971.0,6.0,83.3818511456289,True,,8.37184928677088,8.37184928677088,0.18193267222042053,8.649777999147773,5.2816590524878375,8.649777999147773,8.649777999147773,478.0,514.0,9.600198421130578,21.525333825126292,26.86980128288269,-8.649777999147773,26.86980128288269,-8.649777999147773,27.05916932328989
597,572,37.0,750.0,5.0,83.3881054128618,True,,7.917119826612324,7.917119826612324,0.22583736462845327,8.318330718371726,5.452338635940338,7.496038215576846,7.496038215576846,450.0,484.0,9.576954744008168,21.365638155490164,26.871485501527786,-8.318330718371726,26.871485501527786,-7.496038215576846,32.61911010346339
