run_id,start_ts,end_ts,duration_s,num_samples,start_temp,temp_ref,pid_source,far_kp,far_ki,far_kd,mid_kp,mid_ki,mid_kd,near_kp,near_ki,near_kd,mse,mae,cost,tail_mae,overshoot
run_1779981963_8c3b740a,1779982444.891295,1779983644.6007602,1199.709465265274,601,25.01659393310547,0.0,schedule[0],1,13,50,18,260,21,20,111,31,114.14910644275643,6.380576899846395,75.05211477679411,0.7523863149836739,2.725797653198242
run_1779983826_a63b6f22,1779984307.9020238,1779985507.617404,1199.715380191803,601,28.477195739746094,0.0,schedule[1],1,13,50,18,260,21,20,111,27,154.25621341881143,7.498975886106491,70.32518788561958,0.7504700990108394,2.637701988220215
run_1779985689_b4cfe238,1779986170.9147456,1779987370.624771,1199.710025548935,601,29.006013870239258,0.0,schedule[2],1,13,50,18,262,21,20,111,31,157.56182551615876,7.675048889716466,72.70475532473702,0.786473962393674,2.681758403778076
run_1779987552_a8af689e,1779988033.924927,1779989233.6334777,1199.7085506916046,601,29.342594146728516,0.0,schedule[3],1,13,50,18,262,21,20,111,27,163.1668183699876,7.844194997151693,75.0778709758881,0.778142514077662,2.725797653198242
run_1779989415_c16a3901,1779989896.9367754,1779991096.6424546,1199.705679178238,601,29.342594146728516,0.0,schedule[4],1,56,50,18,260,21,20,111,31,162.32092459693868,7.8146147553126015,72.69419361030444,0.7759122479610935,2.681758403778076
run_1779991278_4238f9ef,1779991759.9486034,1779992959.6519358,1199.7033324241638,601,29.390666961669922,0.0,schedule[5],1,56,50,18,260,21,20,111,27,164.6654861763244,7.9032607237497965,77.50079486966604,0.7823094439644345,2.769810199737549
run_1779993141_613d4a7f,1779993622.9587636,1779994822.6631334,1199.7043697834015,601,29.342594146728516,0.0,schedule[6],1,56,50,18,262,21,20,111,31,162.92772581726402,7.841305866241455,70.34677279729472,0.7720550106859755,2.637701988220215
run_1779995004_3062f7e4,1779995485.9712315,1779996685.6846917,1199.7134602069855,601,29.342594146728516,0.0,schedule[7],1,56,50,18,262,21,20,111,27,163.79602815625705,7.874472413857778,75.0874111819618,0.7876827201513461,2.725797653198242
run_1779999473_4e5d82cd,1779999953.9935532,1780001153.7100513,1199.7164981365204,601,26.261714935302734,0.0,schedule[0],1,13,50,9,255,34,20,673,45,160.4818787555008,9.244829844236374,310.66359940467913,3.442836888905229,5.542749881744385
run_1780001335_1c2c5ae5,1780001817.0084865,1780003016.7184048,1199.7099182605743,601,25.061067581176758,0.0,schedule[1],1,56,50,10,255,26,20,669,44,129.43484471974693,8.058533767461777,258.97624859501354,3.062568531036377,5.058791160583496
run_1780003198_fc5b0fdf,1780003680.0201643,1780004879.7264585,1199.706294298172,601,25.194469451904297,0.0,schedule[2],20,989,50,1,1,32,20,448,5,132.84882998165259,7.850265793800354,211.51885098351414,2.235305731976792,4.574751853942871
run_1780005061_6aa17d4e,1780005543.0327778,1780006742.7474408,1199.714663028717,601,25.861433029174805,0.0,schedule[3],20,935,50,1,1,19,20,453,49,139.50273586719896,8.087036265134811,145.35231633950443,2.282119442907612,3.7824621200561523
run_1780052271_513c8b16,1780052273.3312504,1780053473.034737,1199.7034866809845,601,24.927698135375977,0.0,schedule[0],3,2,50,20,506,47,1,524,2,155.521045403992,7.6606244480609895,2.133903061408741,0.2416908953871046,0.4349956512451172
