rank,candidate_id,step,elapsed_s,temp,temp_ref,error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta
1,394,12,24.0,27.210208537057042,0.0,-27.210208537057042,6.0,936.0,17.0,-100.0,-100.0,0.0,-2.003306506144046,0.007070493551096633,0.040249571204185486
1,394,13,26.0,27.209331424848642,0.0,-27.209331424848642,6.0,936.0,17.0,-100.0,-100.0,0.0,-2.330615014549441,0.00822570005135097,-0.0008771122083999217
1,394,14,28.0,27.239759446994867,0.0,-27.239759446994867,6.0,936.0,17.0,-100.0,-100.0,0.0,-2.0970018135147934,0.007401182871228684,0.030428022146224976
1,394,15,30.0,27.232110144512262,0.0,-27.232110144512262,6.0,936.0,17.0,-100.0,-100.0,0.0,-2.2888740315360367,0.008078378934833071,-0.0076493024826049805
1,394,16,32.0,27.252738567010965,0.0,-27.252738567010965,6.0,936.0,17.0,-100.0,-100.0,0.0,-1.9720186109312594,0.00696006568563974,0.020628422498703003
1,394,17,34.0,27.235613118798938,0.0,-27.235613118798938,6.0,936.0,17.0,-100.0,-100.0,0.0,-2.0495968787296093,0.007233871336692739,-0.01712544821202755
1,394,18,36.0,27.24790305265924,0.0,-27.24790305265924,6.0,936.0,17.0,-100.0,-100.0,0.0,-1.6335159467833427,0.005765350400411798,0.012289933860301971
1,394,19,38.0,27.222060097323265,0.0,-27.222060097323265,6.0,936.0,17.0,-100.0,-100.0,0.0,-1.6359864747392496,0.005774069910844411,-0.025842955335974693
1,394,20,40.0,27.226494045869913,0.0,-27.226494045869913,6.0,936.0,17.0,-100.0,-100.0,0.0,-1.1470806445987478,0.004048519922113227,0.0044339485466480255
1,394,21,42.0,27.193990269617643,0.0,-27.193990269617643,6.0,936.0,17.0,-100.0,-100.0,0.0,-1.0947691606910552,0.0038638911553801948,-0.032503776252269745
1,394,22,44.0,27.191652866022196,0.0,-27.191652866022196,6.0,936.0,17.0,-100.0,-100.0,0.0,-0.5717003237575032,0.002017765848555894,-0.0023374035954475403
1,394,23,46.0,27.155203362868633,0.0,-27.155203362868633,6.0,936.0,17.0,-100.0,-100.0,0.0,-0.48706101532326845,0.0017190388776115357,-0.036449503153562546
1,394,24,48.0,27.14790120528778,0.0,-27.14790120528778,6.0,936.0,17.0,-100.0,-100.0,0.0,0.028858666340184608,-0.0001018541164947692,-0.0073021575808525085
1,394,25,50.0,27.110827693657484,0.0,-27.110827693657484,6.0,936.0,17.0,-100.0,-100.0,0.0,0.1201555510937501,-0.0004240784156250004,-0.03707351163029671
1,394,26,52.0,27.101049991266336,0.0,-27.101049991266336,6.0,936.0,17.0,-100.0,-100.0,0.0,0.5861901866476869,-0.002068906541109483,-0.009777702391147614
1,394,27,54.0,27.066681442724075,0.0,-27.066681442724075,6.0,936.0,17.0,-100.0,-100.0,0.0,0.6562077937736649,-0.0023160275074364644,-0.034368548542261124
1,394,28,56.0,27.055947331653442,0.0,-27.055947331653442,6.0,936.0,17.0,-100.0,-100.0,0.0,1.036269513192124,-0.00365742181126632,-0.010734111070632935
1,394,29,58.0,27.027362652064767,0.0,-27.027362652064767,6.0,936.0,17.0,-100.0,-100.0,0.0,1.0756725394981717,-0.003796491315875901,-0.0285846795886755
1,394,30,60.0,27.016633804829326,0.0,-27.016633804829326,6.0,936.0,17.0,-100.0,-100.0,0.0,1.341227142046467,-0.004733742854281649,-0.010728847235441208
1,394,31,62.0,26.994855124445166,0.0,-26.994855124445166,6.0,936.0,17.0,-100.0,-100.0,0.0,1.3514726099092444,-0.004769903329091451,-0.021778680384159088
1,394,32,64.0,26.984716530831065,0.0,-26.984716530831065,6.0,936.0,17.0,-100.0,-100.0,0.0,1.5030594549650504,-0.00530491572340606,-0.01013859361410141
1,394,33,66.0,26.969372238905635,0.0,-26.969372238905635,6.0,936.0,17.0,-100.0,-100.0,0.0,1.4902655185658353,-0.005259760653761773,-0.015344291925430298
1,394,34,68.0,26.95961381489178,0.0,-26.95961381489178,6.0,936.0,17.0,-100.0,-100.0,0.0,1.5457398935035742,-0.005455552565306733,-0.009758424013853073
1,394,35,70.0,26.949437122733798,0.0,-26.949437122733798,6.0,936.0,17.0,-100.0,-100.0,0.0,1.5239782149596721,-0.0053787466410341375,-0.01017669215798378
1,394,36,72.0,26.939752355159726,0.0,-26.939752355159726,6.0,936.0,17.0,-100.0,-100.0,0.0,1.5096795464291313,-0.005328280752102817,-0.009684767574071884
