decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_overshoot_rmse,horizon_mae,horizon_final_abs_error,horizon_near_std,pid_change_norm,n_evaluated,horizon_steps,optimize_ms
26,250.0,4.069896645843983,-4.069896645843983,3.0,1000.0,18.0,7.0,1000.0,20.0,True,1.5522417461258582,1.5790268209326535,0.0,0.0,2.076929668833812,0.30568456649780273,0.4916222277942213,0.07690735217516927,768,30,94484.20130001614
27,260.0,3.364390417933464,-3.364390417933464,7.0,1000.0,20.0,4.0,1000.0,15.0,True,1.468081199967354,38.659794680410194,0.0,0.0,1.7043471517662208,0.11120887100696564,0.5350237070365033,0.15599200376204905,768,30,95048.82969998289
28,270.0,2.8502019979059696,-2.8502019979059696,4.0,1000.0,15.0,2.0,845.0,17.0,True,1.4172521488264869,43.737242118502806,0.0,0.0,1.6212960955997309,0.5599050410091877,0.4059662835243701,0.1107842153206646,768,30,94360.80429999856
29,280.0,2.4054969660937786,-2.4054969660937786,2.0,845.0,17.0,2.0,792.0,19.0,True,1.3692844126625394,1.3776575212602689,0.0,0.0,1.242214206357797,0.23953569307923317,0.5001965811835669,0.06805624842295858,768,30,94311.60369998543
30,290.0,2.0013711862266064,-2.0013711862266064,2.0,792.0,19.0,1.0,1.0,20.0,True,4.738729180283577,11.61583953018922,0.031905412673950195,0.005825104742677914,0.9122167511532704,0.031905412673950195,0.5852278494783425,0.4583015083905691,768,30,94791.53789998963
31,300.0,1.6269597075879574,-1.6269597075879574,1.0,1.0,20.0,1.0,13.0,12.0,True,36.68941245351225,42.95981499942884,0.3251650556921959,0.0918222764514593,0.6487044633676609,0.3251650556921959,0.5617416163410685,0.24319375471156976,768,30,94732.21300001023
32,310.0,1.2688810266554356,-1.2688810266554356,1.0,13.0,12.0,1.0,30.0,12.0,True,68.78650680956693,70.31089405403779,0.6055254489183426,0.22516289837723955,0.4961950657268365,0.6055254489183426,0.5384874905086944,0.009824779355579218,768,30,94753.55939997826
33,320.0,0.9212637953460217,-0.9212637953460217,1.0,30.0,12.0,1.0,16.0,11.0,True,93.30357691595434,95.76540421560516,0.8051329590380192,0.37599904083845487,0.44650906783839067,0.8051329590380192,0.5090635189980979,0.03144559158969693,768,30,94782.34289999818
34,330.0,0.5911931358277798,-0.5911931358277798,1.0,16.0,11.0,2.0,1.0,1.0,True,97.52467735571823,111.70947633192559,0.7859105225652456,0.594649630764443,0.574832956554989,0.7859105225652456,0.29158605956294453,0.3042204540861073,768,30,94641.09879999887
35,340.0,-0.31564461812376976,0.31564461812376976,2.0,1.0,1.0,1.0,15.0,1.0,True,61.12809245746115,104.59317020087849,0.5129096321761608,0.316055576860686,0.28835816693802674,0.07775138318538666,0.12938583857935207,0.014293188548493665,768,30,94992.70520004211
