decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_overshoot_rmse,horizon_mae,horizon_final_abs_error,horizon_near_std,pid_change_norm,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
11,100.0,19.962934041628614,-19.962934041628614,15.0,644.0,1.0,4.0,661.0,1.0,True,45.196475621031105,45.36951226296369,0.0,0.0,18.358508587488906,16.956317270407453,0.0,0.12998108495678345,768,0,20,16450.116400003026
12,110.0,19.1570783352945,-19.1570783352945,4.0,661.0,1.0,19.0,819.0,1.0,True,43.078610951743315,43.30252616258804,0.0,0.0,17.52807229817845,16.04095401824452,0.0,0.19893462641551687,768,0,20,16242.603300001065
13,120.0,18.404540049144998,-18.404540049144998,19.0,819.0,1.0,4.0,674.0,1.0,True,40.88831580031025,41.16817845629994,0.0,0.0,16.661723529780282,15.125825481722131,0.0,0.19559998886202087,768,0,20,15924.142100004246
14,130.0,17.520952785620466,-17.520952785620466,4.0,674.0,1.0,5.0,759.0,1.0,True,38.928212045517526,38.93304795476142,0.0,0.0,15.86007810072042,14.415101343998685,0.0,0.050517207734261396,768,0,20,16100.600600002508
15,140.0,16.678345734486356,-16.678345734486356,5.0,759.0,1.0,17.0,974.0,1.0,True,36.75439940632609,36.96284869017545,0.0,0.0,15.004525881120935,13.48693067044951,0.0,0.18823088594636428,768,0,20,16238.70710000483
16,150.0,15.89430113346316,-15.89430113346316,17.0,974.0,1.0,5.0,860.0,1.0,True,34.63559418800626,34.823975629382765,0.0,0.0,14.14113227375783,12.703539515146986,0.0,0.15598829171060377,768,0,20,15922.442499999306
17,160.0,14.942593479761854,-14.942593479761854,5.0,860.0,1.0,16.0,899.0,1.0,True,32.5129820867528,32.68616527023259,0.0,0.0,13.303355433652177,11.809911350021139,0.0,0.13155444378730533,768,0,20,16147.268499997153
18,170.0,14.178657638141885,-14.178657638141885,16.0,899.0,1.0,4.0,1000.0,1.0,True,30.418165073885117,30.61286034511868,0.0,0.0,12.446077959844843,11.048958974191919,0.0,0.1529667099471682,768,0,20,16592.402400005085
19,180.0,13.222118774661794,-13.222118774661794,4.0,1000.0,1.0,13.0,558.0,2.0,True,28.358713200117556,28.526743672066367,0.0,0.0,11.639319630572572,10.154582971939817,0.0,0.278245300250134,768,0,20,16614.461400000437
20,190.0,12.4949459976051,-12.4949459976051,13.0,558.0,2.0,6.0,1000.0,1.0,True,26.296020137694683,26.479838068806565,0.0,0.0,10.787683691317216,9.435902627417818,0.0,0.2701441351342114,768,0,20,16769.550700002583
21,200.0,11.558795722434297,-11.558795722434297,6.0,1000.0,1.0,16.0,993.0,11.0,True,24.382988493657262,24.475462906085887,0.0,0.0,10.023764791944995,8.6643990597222,0.0,0.32593799061725565,768,0,20,16791.85359999974
22,210.0,10.853877345332876,-10.853877345332876,16.0,993.0,11.0,13.0,1000.0,1.0,True,22.47767355119013,22.67196429374162,0.0,0.0,9.248706303769723,7.954403000185266,0.0,0.30594435580525325,768,0,20,16533.87980000116
23,220.0,10.007884728023782,-10.007884728023782,13.0,1000.0,1.0,10.0,498.0,1.0,True,20.71563151248694,20.734163293265738,0.0,0.0,8.548219545045868,7.232539536664262,0.0,0.2922654063073768,768,0,20,16463.453199998185
24,230.0,9.28898816020228,-9.28898816020228,10.0,498.0,1.0,7.0,1.0,2.0,True,18.84963439005964,19.037154173129238,0.0,0.0,7.801561833033338,6.487201685318723,0.0,0.2909881333603005,768,0,20,16411.156800000754
25,240.0,8.643545681843534,-8.643545681843534,7.0,1.0,2.0,6.0,2.0,1.0,True,17.10014791538397,17.20195143970195,0.0,0.0,7.105964179569855,5.775787184247747,0.0,0.032596412038548406,768,0,20,16510.688200003642
