elapsed_s,temp,temp_ref
502.0,0.01624319178517908,0.0
504.0,0.018877674010582268,0.0
506.0,0.010403523338027298,0.0
508.0,-0.007762487861327827,0.0
510.0,-0.03313469688873738,0.0
512.0,-0.06427961762528867,0.0
514.0,-0.09968571166973561,0.0
516.0,-0.13599991227965802,0.0
518.0,-0.1701609733281657,0.0
520.0,-0.1973250265000388,0.0
522.0,-0.21447234589140862,0.0
524.0,-0.22089506161864847,0.0
526.0,-0.2173614954808727,0.0
528.0,-0.20521065464708954,0.0
530.0,-0.18566976545844227,0.0
532.0,-0.15938647335860878,0.0
534.0,-0.12823702080640942,0.0
536.0,-0.09496440796647221,0.0
538.0,-0.06282370223198086,0.0
540.0,-0.036442889482714236,0.0
542.0,-0.019069836125709116,0.0
544.0,-0.010838641435839236,0.0
546.0,-0.01022536400705576,0.0
548.0,-0.016920554917305708,0.0
550.0,-0.030193728860467672,0.0
552.0,-0.04869855521246791,0.0
554.0,-0.07093715434893966,0.0
556.0,-0.09553758008405566,0.0
558.0,-0.12038908852264285,0.0
560.0,-0.1429273854009807,0.0
562.0,-0.16138443490490317,0.0
564.0,-0.1741437534801662,0.0
566.0,-0.18016687966883183,0.0
568.0,-0.17934168537613004,0.0
570.0,-0.172045047278516,0.0
572.0,-0.15879863209556788,0.0
574.0,-0.14024696394335479,0.0
576.0,-0.1179675169987604,0.0
578.0,-0.09390264272224158,0.0
580.0,-0.07067797041963786,0.0
582.0,-0.051601565326564014,0.0
584.0,-0.0392818161053583,0.0
586.0,-0.034315332188270986,0.0
588.0,-0.035568145802244544,0.0
590.0,-0.04241963871754706,0.0
592.0,-0.05416463525034487,0.0
594.0,-0.06968080648221076,0.0
596.0,-0.08773525827564299,0.0
598.0,-0.10687108733691275,0.0
600.0,-0.12531513744033873,0.0
602.0,-0.14131023571826518,0.0
604.0,-0.15373487793840468,0.0
606.0,-0.16153404000215232,0.0
608.0,-0.164171882905066,0.0
610.0,-0.16166296903975308,0.0
612.0,-0.15411410271190107,0.0
614.0,-0.14174833497963846,0.0
616.0,-0.12555818050168455,0.0
618.0,-0.10700780129991472,0.0
620.0,-0.0880654992070049,0.0
622.0,-0.07142565748654306,0.0
624.0,-0.059499038150534034,0.0
626.0,-0.05373304360546172,0.0
628.0,-0.053880682797171175,0.0
630.0,-0.0591801080154255,0.0
632.0,-0.06881340884137899,0.0
634.0,-0.08196426660288125,0.0
636.0,-0.0974427527980879,0.0
638.0,-0.11391572759021074,0.0
640.0,-0.12967548437882215,0.0
642.0,-0.1431499841855839,0.0
644.0,-0.15343348972965032,0.0
646.0,-0.1595633082324639,0.0
648.0,-0.16120706498622894,0.0
650.0,-0.15840545506216586,0.0
652.0,-0.1511863514315337,0.0
654.0,-0.1399804677348584,0.0
656.0,-0.12566884304396808,0.0
658.0,-0.10961453500203788,0.0
660.0,-0.0936093486379832,0.0
662.0,-0.08004043507389724,0.0
664.0,-0.07076462800614536,0.0
666.0,-0.06676404853351414,0.0
668.0,-0.06776414962951094,0.0
670.0,-0.07343663659412414,0.0
672.0,-0.08297850762028247,0.0
674.0,-0.09536405664402992,0.0
676.0,-0.10949394677300006,0.0
678.0,-0.12392194208223373,0.0
680.0,-0.13708324183244258,0.0
682.0,-0.14781054120976478,0.0
684.0,-0.1552995132515207,0.0
686.0,-0.1589490183396265,0.0
688.0,-0.15862831030972302,0.0
690.0,-0.15441381721757352,0.0
692.0,-0.14656335464678705,0.0
694.0,-0.13566386490128934,0.0
696.0,-0.12265473580919206,0.0
698.0,-0.1087954135145992,0.0
700.0,-0.09588119364343584,0.0
702.0,-0.0855947823729366,0.0
704.0,-0.0792116227094084,0.0
706.0,-0.07713360199704766,0.0
708.0,-0.07927347044460475,0.0
710.0,-0.08527589519508183,0.0
712.0,-0.09439301234669983,0.0
714.0,-0.10562820662744343,0.0
716.0,-0.11785477143712342,0.0
718.0,-0.129855825798586,0.0
720.0,-0.14021724951453507,0.0
722.0,-0.14815362100489438,0.0
724.0,-0.1530914397444576,0.0
726.0,-0.154651761171408,0.0
728.0,-0.15284260222688317,0.0
730.0,-0.14772571716457605,0.0
732.0,-0.13976487796753645,0.0
