decision_idx,elapsed_s,temp,error,band,old_kp,old_ki,old_kd,kp,ki,kd,changed,rank_score,history_score,source,horizon_overshoot_max,horizon_mae,horizon_final_abs_error,horizon_weighted_motion,horizon_mean_abs_velocity,horizon_near_std,n_evaluated,horizon_steps,optimize_ms
18,510.0,0.10501524331630208,-0.10501524331630208,near,1.0,253.0,5.0,1.0,229.0,18.0,True,0.24122883631390943,0.7434768676757812,run_history,0.016516578471055254,0.11837346098618581,0.12072157932561822,0.0005941616622687267,0.018744685588773853,0.08508737028166581,32,30,6150.3108000033535
19,540.0,0.03282265263260342,-0.03282265263260342,near,1.0,229.0,18.0,1.0,417.0,13.0,True,0.15719338816434225,1.22816801071167,run_history,0.04998626941232942,0.04674289606045932,0.024473247962305322,0.0001640911112352983,0.009829133427862463,0.048878000457064155,32,30,6050.597499997821
20,570.0,0.09836743204505183,-0.09836743204505183,near,1.0,417.0,13.0,1.0,400.0,9.0,True,0.13480309572558768,0.5231304168701172,run_history,0.065668592316797,0.052158564808390415,0.03933554710238241,0.00015752276054727075,0.00992067076330041,0.05633048731314415,32,30,6069.18580000638
21,600.0,-0.008158872922649607,0.008158872922649607,near,1.0,400.0,9.0,1.0,507.0,18.0,True,0.11479472447036021,0.7434768676757812,run_history,0.08368430667906068,0.034588138854208715,0.05253149280906655,0.0007465511816931252,0.02344413175536641,0.04228619105066931,32,30,6046.733000010136
22,630.0,-0.0692734346666839,0.0692734346666839,near,1.0,507.0,18.0,1.0,229.0,18.0,True,0.12076030016093331,0.7434768676757812,run_history,0.08697407328872941,0.03700864327450593,0.03376199668855406,0.0013884267069206612,0.03583059838876642,0.04518938679571765,32,30,6030.574999997043
23,660.0,-0.00613173478632234,0.00613173478632234,near,1.0,229.0,18.0,1.0,400.0,9.0,True,0.12323262547023109,0.5231304168701172,run_history,0.08452233122079633,0.045220514159882444,0.06703734418260865,0.00015878723457014884,0.01051414147990852,0.05169680323227264,32,30,6094.319600000745
24,690.0,0.00411909437389113,-0.00411909437389113,near,1.0,400.0,9.0,8.0,362.0,18.0,True,0.24119492025535016,0.9637908935546876,run_history,0.06715483331936412,0.09183478506359583,0.05244725456577726,0.00016191918415080526,0.010639464275927508,0.10100867132986914,32,30,6062.719499997911
25,720.0,0.03612637417973019,-0.03612637417973019,near,8.0,362.0,18.0,16.0,390.0,20.0,True,0.1608050201809963,1.09598970413208,run_history,0.02174965021549724,0.061220179967737445,0.09447723619086901,1.3837148146933775e-05,0.0026661998750130114,0.04477151785850791,32,30,6134.148000011919
26,750.0,0.07468084042193368,-0.07468084042193368,near,16.0,390.0,20.0,7.0,59.0,16.0,True,0.061302157055967324,0.4790558815002441,run_history,0.03628518566256389,0.016741161870716798,0.009226799960742937,1.3871025380072255e-05,0.0026482751240862476,0.020594330084858246,32,30,6073.886300000595
27,780.0,-0.013430129329208285,0.013430129329208285,near,7.0,59.0,16.0,4.0,108.0,16.0,True,0.0538445766037701,0.6553487777709961,run_history,0.0188809961618972,0.010075782676964688,0.0188809961618972,1.5153560269955658e-06,0.0010317319539698757,0.010999839682228611,32,30,6074.5203000115
