rank,candidate_id,kp,ki,kd,cost,tail_mae,tail_bias,tail_std,overshoot_max,overshoot_rmse,final_error,final_abs_error,time_to_near_s,time_to_settle_s,mae_full,min_temp,max_temp,end_temp
102,225,15.0,368.0,14.0,58.94420084043645,0.5168148928895494,0.5168148928895494,0.16514495736170587,5.820320466533303,2.0534979329526184,0.28321760706603527,0.28321760706603527,410.0,434.0,6.685001855663335,-5.820320466533303,26.970823507755995,-0.28321760706603527
103,339,15.0,372.0,18.0,58.94955516538675,0.5340422213891681,0.5340422213891681,0.20381418500760703,5.818877084180713,2.097467245684279,0.2496700193732977,0.2496700193732977,416.0,442.0,6.7632381168225155,-5.818877084180713,26.999925641342998,-0.2496700193732977
104,303,18.0,839.0,14.0,59.764226485373406,2.3693097101255405,2.3693097101255405,0.36302890428638396,5.629290754033718,2.651861929209175,1.8409895655349828,1.8409895655349828,488.0,522.0,7.975769867479782,-5.629290754033718,26.89595117047429,-1.8409895655349828
105,454,18.0,924.0,7.0,59.90508240853965,2.501255968822028,2.501255968822028,0.3805128026427242,5.623598184487946,2.6545786907301694,1.955176387033589,1.955176387033589,504.0,538.0,8.233892551109367,-5.623598184487946,26.872123271226883,-1.955176387033589
106,55,15.0,305.0,19.0,61.85803599632104,0.17277998044826276,0.1725287927929096,0.15738527444696152,6.160411236807704,2.1441305176043017,-0.004902021144516766,0.004902021144516766,406.0,430.0,6.610103499797697,-6.160411236807704,27.00478213466704,0.004902021144516766
107,14,16.0,431.0,6.0,62.13115283838996,0.7718613431538418,0.7718613431538418,0.1884748279792436,6.101867742894683,2.237411891457428,0.49275330459931865,0.49275330459931865,414.0,436.0,6.977136151621526,-6.101867742894683,26.878318317234516,-0.49275330459931865
108,37,17.0,600.0,7.0,62.134744212711325,1.465867183041691,1.465867183041691,0.25946377565931833,6.000087961554527,2.461029963305426,1.0765310525894165,1.0765310525894165,442.0,470.0,7.463542228527367,-6.000087961554527,26.875917427241802,-1.0765310525894165
109,309,18.0,797.0,7.0,62.16126842779554,2.1768777164837694,2.1768777164837694,0.34307316851841374,5.897781198844314,2.6716814168328056,1.670084277218848,1.670084277218848,480.0,510.0,8.003005574422689,-5.897781198844314,26.87324297428131,-1.670084277218848
110,437,15.0,310.0,6.0,62.17563710823526,0.23287423582946487,0.23287423582946487,0.08803136285436285,6.184109687805176,2.06586616477594,0.11530062585370615,0.11530062585370615,394.0,412.0,6.511117953842816,-6.184109687805176,26.901327405124903,-0.11530062585370615
111,389,15.0,309.0,8.0,62.195280091323326,0.22550012420289317,0.22550012420289317,0.08704434625022757,6.187121057882905,2.070100286984546,0.11009443033253774,0.11009443033253774,390.0,410.0,6.444229059669111,-6.187121057882905,26.920137664303184,-0.11009443033253774
112,386,18.0,742.0,12.0,62.46032088744699,2.0907481840352657,2.0907481840352657,0.349780002772243,5.94056054023531,2.6798709071114994,1.5781545993449981,1.5781545993449981,470.0,502.0,7.831711254675392,-5.94056054023531,26.87913754582405,-1.5781545993449981
113,72,19.0,974.0,13.0,62.51881984609623,2.972176118049962,2.972176118049962,0.5418222303373059,5.814890805690084,2.869835497770472,2.253649111953564,2.253649111953564,514.0,548.0,8.405319645115426,-5.814890805690084,26.87162744998932,-2.253649111953564
114,101,19.0,919.0,16.0,62.70744466157111,2.8808552969562427,2.8808552969562427,0.518491837599917,5.847616097074933,2.871845284672855,2.1823649501311593,2.1823649501311593,508.0,540.0,8.334268189686894,-5.847616097074933,26.887404296547174,-2.1823649501311593
115,137,14.0,219.0,8.0,62.86888996270248,0.03366668353359369,-0.03366668353359369,0.04500015110059254,6.2808598801493645,1.9833107766619924,-0.008248804249888053,0.008248804249888053,376.0,394.0,6.151699628327918,-6.2808598801493645,26.94955273717642,0.008248804249888053
116,370,15.0,286.0,17.0,63.05084580949999,0.08055830343323427,0.06815949618777081,0.10263568282821449,6.291041819436941,2.1466386310026544,-0.01710294056647399,0.01710294056647399,398.0,420.0,6.502335305819468,-6.291041819436941,26.990624967962503,0.01710294056647399
117,354,18.0,706.0,13.0,63.3359611130747,2.0016306366194008,2.0016306366194008,0.35240282295579445,6.041424501745496,2.6960156295267597,1.4877680950448848,1.4877680950448848,464.0,494.0,7.769572585439503,-6.041424501745496,26.8877478428185,-1.4877680950448848
118,125,19.0,878.0,15.0,64.13515088848156,2.756265380172312,2.756265380172312,0.4987966233708825,6.009416896908078,2.9086902378839925,2.07063645508606,2.07063645508606,496.0,530.0,8.262565709238892,-6.009416896908078,26.87960408255458,-2.07063645508606
119,446,19.0,846.0,12.0,65.21071876220196,2.6046822096008846,2.6046822096008846,0.47081124563951743,6.139501337012916,2.9149746530045157,1.9512351193043287,1.9512351193043287,490.0,522.0,8.203317488923833,-6.139501337012916,26.872775569558144,-1.9512351193043287
120,52,15.0,256.0,14.0,65.28149607726756,0.03902067938920994,-0.034321162520677566,0.03364471911593135,6.521824071183801,2.1657954140336275,0.014824652964762208,0.014824652964762208,392.0,410.0,6.475739205744466,-6.521824071183801,26.96768283843994,-0.014824652964762208
